,,2A,2B,2C
Eigyo-kilo,,JRE/C/W,JRE IC,JRH
営業キロ,,JR本州,JR東IC,JR北
1-3,3,150,147,200
4-6,6,190,189,250
7-10,10,210,210,300
11-15,15,240,242,340
16-20,20,330,330,440
21-23,23,420,418,540
24-28,28,510,506,640
29-32,32,590,594,750
33-37,37,680,682,860
38-41,41,770,770,970
42-46,46,860,858,",130"
47-55,55,990,990,1290
56-64,64,1170,1166,1490
65-73,73,1340,1342,1680
74-82,82,1520,1518,1890
83-91,91,1690,1694,2100
92-100,100,1880,1881,2320
101-110,110,1980,1980,2420
111-128,128,2310,2310,2860
129-146,146,2640,2640,3190
147-164,164,3080,3080,3630
165-182,182,3410,3410,4070
183-200,200,3740,3740,4510
201-219,219,4070,4070,4840
220-237,237,4510,4510,5280
238-255,255,4840,4840,5610
256-273,273,5170,5170,5940
274-291,291,5500,5500,6270
292-310,310,5720,5720,6490
311-328,328,6050,6050,6820
329-346,346,6380,6380,7150
347-364,364,6600,6600,7370
365-382,382,6930,6930,7700
383-400,400,7150,7150,7920
401-419,419,7480,7480,8250
420-437,437,7700,7700,8470
438-455,455,8030,8030,8800
456-473,473,8360,8360,9020
474-491,491,8580,8580,9350
492-510,510,8910,8910,9680
511-528,528,9130,9130,9900
529-546,546,9460,9460,10230
547-582,582,9680,9680,10450
583-619,619,10010,10010,10780
620-655,655,10340,10340,11110
656-691,691,10670,10670,11440
692-728,728,11000,11000,11770
729-764,764,11220,11220,11990
765-800,800,11550,11550,12320
801-837,837,11880,11880,12650
838-873,873,12210,12210,12980
874-910,910,12540,12540,13310
911-946,946,12870,12870,13530
947-982,982,13090,13090,13860
983-1019,1019,13420,13420,14190
1020-1055,1055,13750,13750,14520
1056-1091,1091,14080,14080,14850
1092-1128,1128,14410,14410,15070
1129-1164,1164,14630,14630,15400
1165-1200,1200,14960,14960,15730
